PlayerID,nameFirst,nameLast,FullName,DebutYear,FinalYear,Years,W,L,WPct,ERA,G,GS,GF,CG,SHO,SV,IPOuts,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BFP,WHIP,H9,HR9,BB9,SO9,SOW,SH,SF,GIDP,GG,InductionYear,votedBy
merriji01,Jim,Merritt,Jim Merritt,1965,1975,11,81,86,0.48502994,3.65340526,297,192,48,56,9,7,4449,1483,1468,657,602,160,322,45,932,25,1,32,6168,1.207012812,8.908968307,0.97100472,1.954146999,5.656102495,2.894409938,0,0,0,0,0,
mesajo01,Jose,Mesa,Jose Mesa,1987,2007,19,80,109,0.423280423,4.358588023,1022,95,633,6,2,321,4646,1548.66667,1629,811,750,151,651,57,1038,55,5,75,6804,1.472234177,9.466853187,0.877529055,3.783254404,6.032285824,1.594470046,27,26,0,0,0,
messean01,Andy,Messersmith,Andy Messersmith,1968,1979,12,130,99,0.56768559,2.861007328,344,295,30,98,27,15,6691,2230.33333,1719,812,709,174,831,44,1625,40,7,70,9120,1.143326859,6.936631306,0.7021372,3.353310422,6.557315807,1.955475331,0,0,0,2,0,
meyerru01,Russ,Meyer,Russ Meyer,1946,1959,13,94,73,0.562874251,3.990639974,319,219,47,65,13,5,4594,1531.33333,1606,761,679,136,541,10,672,15,5,36,6570,1.40204615,9.438833281,0.799303441,3.17958207,3.949499356,1.242144177,0,0,0,0,0,
micelda01,Dan,Miceli,Dan Miceli,1993,2006,14,43,52,0.452631579,4.482873433,631,9,225,0,0,39,2102,700.66667,684,383,349,93,310,47,632,20,4,43,3069,1.418648899,8.785918131,1.194576588,3.98192196,8.117982835,2.038709677,16,9,0,0,0,
millean01,Andrew,Miller,Andrew Miller,2006,2015,10,33,40,0.452054795,4.594708386,319,66,91,0,0,37,1663,554.33333,533,318,283,50,289,11,590,33,2,34,2491,1.482862306,8.653638056,0.811785934,4.692122698,9.57907402,2.041522491,34,26,2,0,0,
millebo02,Bob,Miller,Bob Miller,1949,1958,10,42,42,0.5,3.96350365,261,69,79,23,6,15,2466,822,889,406,362,72,247,24,263,16,4,20,3547,1.381995134,9.733576642,0.788321168,2.704379562,2.879562044,1.064777328,0,0,0,0,0,
millebo04,Bob,Miller,Bob Miller,1957,1974,17,69,81,0.46,3.370648911,694,99,290,7,0,51,4654,1551.33333,1487,679,581,101,608,111,895,32,3,62,6623,1.350451228,8.626772687,0.585947573,3.527288362,5.192307703,1.472039474,0,0,0,0,0,
millest01,Stu,Miller,Stu Miller,1952,1968,16,105,103,0.504807692,3.240850059,704,93,405,24,5,154,5082,1694,1522,697,610,140,600,114,1164,39,3,25,7083,1.252656434,8.086186541,0.743801653,3.18772137,6.184179457,1.94,0,0,0,0,0,
milletr02,Trever,Miller,Trever Miller,1996,2011,13,18,17,0.514285714,4.178980918,694,5,133,0,0,11,1570,523.33333,521,264,243,54,237,28,434,43,0,22,2322,1.448407653,8.959872669,0.928662426,4.075796204,7.463694315,1.831223629,18,14,0,0,0,
